Group,Address
Microsoft Office 365,login.microsoftonline.com
Microsoft Office 365,login.microsoft.com
Microsoft Office 365,login.windows.net
Microsoft Office 365,FQDN_login.live.com
KT_Group_SAT,10.231.22.0-10.231.27.255
KT_Group_SAT,10.231.9.0/24
CRM20030636224_User,10.231.64.0/24
CRM20030636224_User,10.231.65.0/24
CRM20030636224_User,10.231.67.0/24
KT_Group_Commerce,10.231.28.0-10.231.30.255
MsTeams_User05,10.203.10.31/32
MsTeams_User05,10.203.236.43/32
MsTeams_User05,10.214.165.205/32
MsTeams_User05,10.201.243.56/32
MsTeams_User05,10.214.144.107/32
MsTeams_User05,10.200.173.50/32
MsTeams_User05,10.214.73.137/32
MsTeams_User05,10.214.66.153/32
MsTeams_User05,10.201.243.68/32
MsTeams_User05,10.214.164.205/32
MsTeams_User05,10.201.172.38/32
MsTeams_User05,10.214.164.64/32
MsTeams_User05,10.214.162.170/32
MsTeams_User05,10.201.243.180/32
MsTeams_User05,10.203.236.236/32
MsTeams_User05,10.214.164.97/32
MsTeams_User05,10.214.72.25/32
MsTeams_User05,10.203.10.36/32
MsTeams_User05,10.200.173.150/32
MsTeams_User05,10.214.164.36/32
MsTeams_User05,10.214.144.43/32
MsTeams_User05,10.214.165.133/32
MsTeams_User05,10.200.173.90/32
MsTeams_User05,10.214.72.103/32
MsTeams_User05,10.200.173.64/32
MsTeams_User05,10.200.58.60/32
MsTeams_User05,10.214.164.200/32
MsTeams_User05,10.200.59.111/32
MsTeams_User05,10.214.140.165/32
MsTeams_User05,10.214.173.235/32
MsTeams_User05,10.200.173.125/32
MsTeams_User05,10.214.164.139/32
MsTeams_User05,10.214.163.40/32
MsTeams_User05,10.209.234.145/32
KT_MnS_MS_Allow,172.20.81.0-172.20.87.0
KT_MnS_MS_Allow,172.20.92.0-172.20.94.0
KT_MnS_MS_Allow,172.20.128.0-172.20.143.0
KT_MnS_MS_Allow,10.214.164.161/32
KT_MnS_MS_Allow,10.200.58.147/32
KT_Group_Powertel,10.231.64.0/24
KT_Group_Powertel,10.231.65.0/24
KT_Group_Powertel,10.231.66.0/24
KT_Group_Powertel,10.231.67.0/24
KT_Group_Powertel,10.231.68.0/24
KT_Group_Powertel,10.231.69.0/24
KT_Group_Powertel,10.231.70.0/24
KT_Group_Powertel,10.231.71.0/24
KT_Group_Powertel,10.231.72.0/24
Int_Office_Environment_Repair_TF_Users,10.200.222.142/32
Int_Office_Environment_Repair_TF_Users,10.200.220.250/32
Int_Office_Environment_Repair_TF_Users,10.214.142.31/32
Int_Office_Environment_Repair_TF_Users,10.214.144.232/32
Int_Office_Environment_Repair_TF_Users,10.214.145.55/32
Int_Office_Environment_Repair_TF_Users,10.214.145.114/32
Int_Office_Environment_Repair_TF_Users,10.214.164.56/32
Int_Office_Environment_Repair_TF_Users,10.200.220.236/32
Int_Office_Environment_Repair_TF_Users,10.225.161.75/32
Int_Office_Environment_Repair_TF_Users,10.200.38.114/32
Int_Office_Environment_Repair_TF_Users,10.200.221.111/32
Int_Office_Environment_Repair_TF_Users,10.214.132.75/32
Int_Office_Environment_Repair_TF_Users,10.214.132.131/32
Int_Office_Environment_Repair_TF_Users,10.214.144.181/32
Int_Office_Environment_Repair_TF_Users,10.214.144.218/32
Int_Office_Environment_Repair_TF_Users,10.214.162.150/32
Int_Office_Environment_Repair_TF_Users,10.200.208.77/32
Int_Office_Environment_Repair_TF_Users,10.214.128.54/32
Int_Office_Environment_Repair_TF_Users,10.214.128.72/32
Int_Office_Environment_Repair_TF_Users,10.214.133.248/32
Int_Office_Environment_Repair_TF_Users,10.214.144.33/32
Int_Office_Environment_Repair_TF_Users,10.214.144.98/32
Int_Office_Environment_Repair_TF_Users,10.214.144.142/32
Int_Office_Environment_Repair_TF_Users,10.214.144.165/32
Int_Office_Environment_Repair_TF_Users,10.214.144.168/32
Int_Office_Environment_Repair_TF_Users,10.214.145.31/32
Int_Office_Environment_Repair_TF_Users,10.214.145.214/32
Int_Office_Environment_Repair_TF_Users,10.214.162.190/32
Int_Office_Environment_Repair_TF_Users,10.214.164.245/32
Int_Office_Environment_Repair_TF_Users,10.214.164.219/32
Int_Office_Environment_Repair_TF_Users,10.214.144.102/32
Int_Office_Environment_Repair_TF_Users,10.214.74.137/32
Int_Office_Environment_Repair_TF_Users,10.214.144.139/32
Int_Office_Environment_Repair_TF_Users,10.214.144.145/32
Int_Office_Environment_Repair_TF_Users,10.214.144.117/32
Int_Office_Environment_Repair_TF_Users,10.214.162.42/32
Int_Office_Environment_Repair_TF_Users,10.214.144.236/32
Int_Office_Environment_Repair_TF_Users,10.214.144.196/32
Int_Office_Environment_Repair_TF_Users,10.214.144.157/32
Int_Office_Environment_Repair_TF_Users,10.214.145.61/32
__CondList1KT_Agent_MnS_IP,172.16.0.0/16
__CondList1KT_Agent_MnS_IP,172.17.0.0/16
__CondList1KT_Agent_MnS_IP,172.18.0.0-172.18.189.255
__CondList1KT_Agent_MnS_IP,172.18.201.0-172.18.255.255
__CondList1KT_Agent_MnS_IP,10.215.145.33/32
__CondList1KT_Agent_MnS_IP,10.215.146.226/32
__CondList2KT_Agent_MnS_IP,172.18.216.0-172.18.220.255
__CondList2KT_Agent_MnS_IP,172.18.211.0-172.18.215.255
KT_IPCC,10.227.0.0/16
KT_IPCC,10.229.0.0/16
__CondList1KT_Group_DS,10.225.0.0/16
__CondList1KT_Group_DS,10.214.58.0/24
__CondList1KT_Group_DS,10.214.32.0/23
__CondList1KT_Group_DS,172.20.32.0/22
__CondList1KT_Group_DS,10.207.138.0/24
__CondList1KT_Group_DS,10.213.83.0/24
__CondList1KT_Group_DS,10.213.216.0/23
__CondList1KT_Group_DS,10.213.230.0/24
__CondList1KT_Group_DS,10.200.138.0/23
__CondList1KT_Group_DS,10.200.84.0/22
VDI_Client_20200902,10.215.144.0/20
VDI_Client_20200902,10.215.160.0/21
CRM22101985529_User,10.217.67.27/32
CRM22101985529_User,10.217.67.47/32
CRM22101985529_User,10.217.67.63/32
CRM22120300005_User,172.16.162.114-172.16.162.126
CRM22120300005_User,172.16.162.146-172.16.162.158
CRM22120300005_User,172.16.162.162-172.16.162.174
CRM22120300005_User,172.16.163.130-172.16.163.142
CRM22120300005_User,172.16.164.18-172.16.164.30
CRM22120300005_User,172.16.164.34-172.16.164.46
CRM22120300005_User,172.16.200.200-172.16.200.206
CRM22120300005_User,172.16.202.194-172.16.202.206
CRM22120300005_User,172.16.212.129-172.16.212.156
CRM22120300005_User,172.16.212.34-172.16.212.62
CRM22120300005_User,172.16.251.178-172.16.251.190
CRM22120300005_User,172.16.255.130-172.16.255.142
CRM22120300005_User,172.16.255.162-172.16.255.174
CRM22120300005_User,172.16.255.210-172.16.255.222
CRM22120300005_User,172.16.255.226-172.16.255.238
CRM22120300005_User,172.16.162.98-172.16.162.110
CRM22111092702_User,10.214.145.51/32
CRM22111092702_User,10.214.144.56/32
CRM22040610926_User,10.231.0.0/22
CRM22040610926_User,10.231.6.0/23
CRM22040610926_User,10.231.10.0/23
CRM22111794468_User,10.220.207.99/32
CRM22111794468_User,10.220.207.192/32
CRM22111794468_User,10.220.207.203/32
CRM22111794468_User,10.220.207.96/32
CRM22111794468_User,10.220.207.79/32
CRM22111794468_User,10.220.207.213/32
CRM22111794468_User,10.220.207.232/32
CRM22111794468_User,10.217.67.27/32
CRM22111794468_User,10.217.67.47/32
CRM22111794468_User,10.217.67.63/32
CRM22122105134_User,10.217.67.27/32
CRM22122105134_User,10.217.67.47/32
CRM22122105134_User,10.217.67.63/32
CRM22122105134_User,10.220.207.99/32
CRM22122105134_User,10.220.207.192/32
CRM22122105134_User,10.220.207.203/32
CRM22122105134_User,10.220.207.96/32
CRM22122105134_User,10.220.207.79/32
CRM22122105134_User,10.220.207.213/32
CRM22122105134_User,10.220.207.232/32
EXO_SSL_Except/addresses,10.200.45.149
EXO_SSL_Except/addresses,10.214.136.126
EXO_SSL_Except/addresses,10.214.164.122
EXO_SSL_Except/addresses,10.214.72.132
InnerServer_CRM19101691447,10.220.170.243/32
InnerServer_CRM19101691447,10.220.170.251/32
InnerServer_CRM19101691447,10.220.169.99/32
InnerServer_CRM19101691447,10.220.164.150/32
InnerServer_CRM19101691447,10.220.164.136/32
InnerServer_CRM19101691447,10.220.164.182/32
InnerServer_CRM19101691447,10.220.164.184/32
InnerServer_CRM19101691447,10.220.160.165/32
InnerServer_CRM19101691447,10.220.161.117/32
InnerServer_CRM19101691447,10.220.162.213/32
InnerServer_CRM19101691447,10.220.162.24/32
InnerServer_CRM19101691447,10.220.170.180/32
InnerServer_CRM19101691447,10.220.170.184/32
InnerServer_CRM19101691447,10.220.171.176/32
InnerServer_CRM19101691447,10.220.171.177/32
InnerServer_CRM19101691447,10.220.160.11/32
InnerServer_CRM19101691447,10.220.160.24/32
KT_SoftwareDevDept_DevZone,10.214.200.0/21
KT_ReadyMade_DevZone,10.217.66.0/24
KT_ReadyMade_DevZone,10.201.244.192/32
KT_SoftwareDevDept_MacOS/addresses,10.214.202.131
KT_SoftwareDevDept_MacOS/addresses,10.214.202.80
